_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.1,PGB:00049,M1,1,0,PaGenBase,36,Cell-specific: Adipocyte,,-2.1,7.3,4,30244,145,86,3,3.5,2,48|2180|55902,ACO1|ACSL1|ACSS2,0,0
1,-2.1,PGB:00026,M1,1,0,PaGenBase,36,Cell-specific: CD71+ EarlyErythroid,,-2.1,7.2,4,30244,146,86,3,3.5,2,538|2235|22934,ATP7A|FECH|RPIA,0,0
